Date,PKN.WA,PKO.WA,KGH.WA,PZU.WA,ALE.WA,CDR.WA,DNP.WA,LPP.WA,PEO.WA,MBK.WA,CPS.WA,JSW.WA,KTY.WA,OPL.WA,SPL.WA,TPE.WA,BDX.WA,XTB.WA,ENA.WA,ING.WA
2023-08-17,54.40095138549805,31.613697052001953,105.59929656982422,30.773395538330078,34.334999084472656,147.78079223632812,43.22999954223633,11760.546875,85.68441772460938,416.0,14.050000190734863,34.099998474121094,574.0504150390625,6.081792831420898,272.012451171875,4.190000057220459,429.7611999511719,32.49638366699219,8.641773223876953,154.62811279296875
2023-08-18,54.20170974731445,31.76053810119629,104.1782455444336,31.034452438354492,34.47999954223633,152.3309326171875,39.619998931884766,11760.546875,85.92784118652344,419.5,14.194999694824219,34.70000076293945,569.6622924804688,6.0782341957092285,273.4891662597656,4.197999954223633,420.1916198730469,32.530967712402344,8.856354713439941,153.2095184326172
2023-08-21,55.47511291503906,32.01102828979492,105.69730377197266,31.050273895263672,33.51499938964844,153.91360473632812,38.470001220703125,11642.486328125,86.6581039428711,420.20001220703125,14.675000190734863,35.349998474121094,576.2201538085938,6.152966499328613,277.91937255859375,4.267000198364258,412.36199951171875,29.694669723510742,8.87098503112793,157.62295532226562
2023-08-22,55.7089958190918,31.70871353149414,107.5103759765625,30.876232147216797,33.404998779296875,155.39735412597656,38.439998626708984,11569.8349609375,85.1164321899414,415.79998779296875,14.385000228881836,35.0099983215332,585.4012451171875,6.088910102844238,277.0333251953125,4.46999979019165,423.6714782714844,29.867616653442383,8.924630165100098,152.5790252685547
2023-08-23,55.579063415527344,31.976476669311523,110.00947570800781,31.232229232788086,33.32500076293945,158.06808471679688,37.29999923706055,11370.04296875,85.603271484375,409.0,14.180000305175781,34.599998474121094,560.0440063476562,6.103145122528076,279.54376220703125,4.584000110626221,418.45172119140625,29.660079956054688,9.036798477172852,148.7960662841797
2023-08-24,55.145931243896484,32.304710388183594,107.65737915039062,31.18475914001465,32.779998779296875,153.27064514160156,37.4900016784668,11805.9541015625,86.86095428466797,412.1000061035156,14.045000076293945,34.290000915527344,561.3556518554688,6.2597270011901855,279.1007385253906,4.400000095367432,417.1467590332031,28.656999588012695,8.856354713439941,150.52992248535156
2023-08-25,54.193050384521484,32.07149124145508,108.24540710449219,31.517019271850586,32.564998626708984,154.40818786621094,37.72999954223633,11506.2646484375,86.33354187011719,413.79998779296875,14.255000114440918,34.720001220703125,567.0391235351562,6.227698802947998,277.91937255859375,4.309999942779541,413.23193359375,29.27960205078125,8.388177871704102,146.58934020996094
2023-08-28,55.440460205078125,32.76250076293945,111.13652801513672,32.07078552246094,32.93000030517578,153.17173767089844,38.959999084472656,11933.0966796875,88.8488998413086,426.8999938964844,13.260000228881836,38.099998474121094,570.0994262695312,6.225919723510742,283.82623291015625,4.257999897003174,409.31707763671875,29.08936309814453,8.485713958740234,150.52992248535156
2023-08-29,55.024658203125,32.71931838989258,113.6356201171875,32.05495834350586,33.09000015258789,154.25979614257812,39.5,11851.361328125,88.32147979736328,432.0,13.350000381469727,37.689998626708984,578.8433227539062,6.281079292297363,282.20184326171875,4.2210001945495605,411.9269714355469,28.380287170410156,8.368669509887695,152.42138671875
2023-08-30,55.07663345336914,32.874794006347656,113.4886245727539,32.75902557373047,33.189998626708984,151.8858184814453,38.18000030517578,12396.251953125,89.01117706298828,438.3999938964844,13.444999694824219,37.369998931884766,569.6622924804688,6.361149787902832,283.23553466796875,4.289999961853027,410.1870422363281,28.518644332885742,8.407684326171875,152.1061553955078
